artist,album,label,release_year,reviewer,score,accolade,publish_date,url
Nico Muhly,Drones, Bedroom Community,2012,Jayson Greene, 7.1 , ,2012-11-29,http://pitchfork.com/reviews/albums/17448-drones/
Nadja,Dagdrøm, Broken Spine,2012,Stuart Berman, 7.8 , ,2012-11-29,http://pitchfork.com/reviews/albums/17317-dagdrm/
Various,Hemlock Recordings: Chapter One, Hemlock,2012,Mike Powell, 7.0 , ,2012-11-29,http://pitchfork.com/reviews/albums/17302-hemlock-recordings-chapter-one/
Bikini Kill,Bikini Kill EP, Bikini Kill,2012,Lindsay Zoladz, 8.7 , Best New Reissue ,2012-11-28,http://pitchfork.com/reviews/albums/17434-bikini-kill-ep/
Bad Brains,Into the Future, Megaforce,2012,Jayson Greene, 5.9 , ,2012-11-28,http://pitchfork.com/reviews/albums/17329-into-the-future/
Boody & LE1F,Liquid EP, Boysnoize,2012,Miles Raymer, 7.1 , ,2012-11-28,http://pitchfork.com/reviews/albums/17454-liquid-ep/
Cashmere Cat,Mirror Maru, Pelican Fly,2012,Jonah Bromwich, 7.6 , ,2012-11-28,http://pitchfork.com/reviews/albums/17408-mirror-maru/
Ex-Cult,Ex-Cult, Goner,2012,Stephen M. Deusner, 6.9 , ,2012-11-28,http://pitchfork.com/reviews/albums/17458-ex-cult/
Solange,True, Terrible,2012,Carrie Battan, 7.8 , ,2012-11-27,http://pitchfork.com/reviews/albums/17373-true/
Mogwai,A Wrenched and Virile Lore, Sub Pop,2012,Stuart Berman, 7.0 , ,2012-11-27,http://pitchfork.com/reviews/albums/17374-a-wrenched-virile-lore/
E-40 / Too $hort,The History Channel, self-released,2012,Jayson Greene, 7.8 , ,2012-11-27,http://pitchfork.com/reviews/albums/17363-the-history-channel/
James Ferraro,Sushi, Hippos in Tanks,2012,Marc Masters, 7.2 , ,2012-11-27,http://pitchfork.com/reviews/albums/17459-sushi/
The People's Temple,More for the Masses, Hozac,2012,Evan Minsker, 6.8 , ,2012-11-27,http://pitchfork.com/reviews/albums/17412-more-for-the-masses/
Rihanna,Unapologetic, Def Jam,2012,Jessica Hopper, 4.5 , ,2012-11-26,http://pitchfork.com/reviews/albums/17369-unapologetic/
Cities Aviv,Black Pleasure, Mishka,2012,Ian Cohen, 6.1 , ,2012-11-26,http://pitchfork.com/reviews/albums/17456-black-pleasure/
Gerry Read,Jummy, Fourth Wave,2012,Andrew Gaerig, 8.0 , ,2012-11-26,http://pitchfork.com/reviews/albums/17445-jummy/
Eternal Tapestry,A World Out Of Time, Thrill Jockey,2012,Marc Masters, 7.0 , ,2012-11-26,http://pitchfork.com/reviews/albums/17293-a-world-out-of-time/
Downfall of Gaia,Suffocating in the Swarm of Crane, Metal Blade,2012,Kim Kelly, 6.5 , ,2012-11-26,http://pitchfork.com/reviews/albums/17399-suffocating-in-the-swarm-of-crane/
Dinosaur Jr.,Chocomel Daze (Live 1987), Merge,2012,Stuart Berman, 4.5 , ,2012-11-21,http://pitchfork.com/reviews/albums/17370-chocomel-daze-live-1987/
Roc Marciano,Reloaded, Decon,2012,Ian Cohen, 8.1 , ,2012-11-21,http://pitchfork.com/reviews/albums/17301-reloaded/
Ratking,Wiki93 EP, XL / Hot Charity,2012,Jordan Sargent, 5.8 , ,2012-11-21,http://pitchfork.com/reviews/albums/17352-wiki93-ep/
Raime,Quarter Turns Over a Living Line, Blackest Ever Black,2012,Nick Neyland, 7.2 , ,2012-11-21,http://pitchfork.com/reviews/albums/17414-quarter-turns-over-a-living-line/
Forma,OFF/ON, Spectrum Spools,2012,Zach Kelly, 6.7 , ,2012-11-21,http://pitchfork.com/reviews/albums/17440-off-on/
The Velvet Underground,The Velvet Underground & Nico 45th Anniversary [Super Deluxe], Polydor,2012,Miles Raymer, 9.0 , Best New Reissue ,2012-11-20,http://pitchfork.com/reviews/albums/17129-the-velvet-underground-nico/
Holly Herndon,Movement, Rvng Intl.,2012,Grayson Currin, 8.1 , ,2012-11-20,http://pitchfork.com/reviews/albums/17356-movement/
Heems,Wild Water Kingdom, Greedhead,2012,Jonah Bromwich, 7.2 , ,2012-11-20,http://pitchfork.com/reviews/albums/17251-wild-water-kingdom/
Jessica Pratt,Jessica Pratt, Birth,2012,Lindsay Zoladz, 7.5 , ,2012-11-20,http://pitchfork.com/reviews/albums/17415-jessica-pratt/
P.O.S.,We Don't Even Live Here, Rhymesayers,2012,Ian Cohen, 5.7 , ,2012-11-20,http://pitchfork.com/reviews/albums/17214-we-dont-even-live-here/
William Basinski,The Disintegration Loops, Temporary Residence,2012,Mark Richardson, 10.0 , Best New Reissue ,2012-11-19,http://pitchfork.com/reviews/albums/17064-the-disintegration-loops/
Action Bronson,Rare Chandeliers, Vice,2012,Jordan Sargent, 7.2 , ,2012-11-19,http://pitchfork.com/reviews/albums/17375-rare-chandeliers/
The Evens,The Odds, Dischord,2012,Douglas Wolk, 8.0 , ,2012-11-19,http://pitchfork.com/reviews/albums/17328-the-odds/
El Perro Del Mar,Pale Fire, Control Group,2012,Katherine St Asaph, 6.0 , ,2012-11-19,http://pitchfork.com/reviews/albums/17292-pale-fire/
Steve Hauschildt,Sequitur, Kranky,2012,Sam Hockley-Smith, 6.6 , ,2012-11-19,http://pitchfork.com/reviews/albums/17360-sequitur/
Soundgarden,King Animal, Republic / Seven Four,2012,Stuart Berman, 5.9 , ,2012-11-16,http://pitchfork.com/reviews/albums/17300-king-animal/
Mykki Blanco,Cosmic Angel: The Illuminati Prince/ss, UNO,2012,Carrie Battan, 6.8 , ,2012-11-16,http://pitchfork.com/reviews/albums/17350-cosmic-angel-the-illuminati-princess/
Kevin Drumm,Relief, Editions Mego,2012,Brian Howe, 7.7 , ,2012-11-16,http://pitchfork.com/reviews/albums/17362-relief/
Lust for Youth,Growing Seeds, Sacred Bones / Avant!,2012,Jayson Greene, 7.0 , ,2012-11-16,http://pitchfork.com/reviews/albums/17366-growing-seeds/
Blank Realm,Go Easy, Siltbreeze,2012,Marc Masters, 7.3 , ,2012-11-16,http://pitchfork.com/reviews/albums/17403-go-easy/
How to destroy angels_,An Omen EP, Columbia,2012,Eric Harvey, 6.5 , ,2012-11-15,http://pitchfork.com/reviews/albums/17297-an-omen-ep/
Isis,Temporal, Ipecac,2012,Grayson Currin, 6.7 , ,2012-11-15,http://pitchfork.com/reviews/albums/17279-temporal/
The Babies,Our House on the Hill, Woodsist,2012,Jenn Pelly, 7.8 , ,2012-11-15,http://pitchfork.com/reviews/albums/17296-our-house-on-the-hill/
Freeway,Diamond In The Ruff, Babygrande,2012,Jayson Greene, 5.3 , ,2012-11-15,http://pitchfork.com/reviews/albums/17299-diamond-in-the-ruff/
Lukid,Lonely at the Top, Werkdiscs,2012,Ruth Saxelby, 8.0 , ,2012-11-15,http://pitchfork.com/reviews/albums/17217-lonely-at-the-top/
Sufjan Stevens,Silver & Gold: Songs for Christmas, Asthmatic Kitty,2012,Ryan Dombal, 7.8 , ,2012-11-14,http://pitchfork.com/reviews/albums/17320-silver-gold-songs-for-christmas/
Oneida,A List of the Burning Mountains, Jagjaguwar,2012,Marc Masters, 7.2 , ,2012-11-14,http://pitchfork.com/reviews/albums/17304-a-list-of-the-burning-mountains/
School of Seven Bells,Put Your Sad Down EP, Vagrant,2012,Eric Harvey, 6.3 , ,2012-11-14,http://pitchfork.com/reviews/albums/17396-put-your-sad-down-ep/
DaVinci,The MOEna Lisa, SWTBRDS,2012,Jayson Greene, 7.1 , ,2012-11-14,http://pitchfork.com/reviews/albums/17201-the-moena-lisa/
Ital Tek,Nebula Dance, Planet Mu,2012,Miles Raymer, 7.8 , ,2012-11-14,http://pitchfork.com/reviews/albums/17353-nebula-dance/
The Weeknd,Trilogy, Universal Republic,2012,Ian Cohen, 8.5 , Best New Reissue ,2012-11-13,http://pitchfork.com/reviews/albums/17280-the-trilogy/
Mark Kozelek,Mark Kozelek on Tour: The Soundtrack, Caldo Verde,2012,Stephen M. Deusner, 6.0 , ,2012-11-13,http://pitchfork.com/reviews/albums/17365-mark-kozelek-on-tour-the-soundtrack/
Ital,Dream On, Planet Mu,2012,Nate Patrin, 7.4 , ,2012-11-13,http://pitchfork.com/reviews/albums/17298-dream-on/
Mr. Muthafuckin' eXquire,Power and Passion, Universal,2012,Jonah Bromwich, 5.4 , ,2012-11-13,http://pitchfork.com/reviews/albums/17146-power-and-passion/
Pete Swanson,Pro Style EP, Type,2012,Marc Masters, 7.9 , ,2012-11-13,http://pitchfork.com/reviews/albums/17401-pro-style-ep/
Crystal Castles,(III), Fiction / Casablanca / Universal Republic,2012,Ian Cohen, 8.0 , ,2012-11-12,http://pitchfork.com/reviews/albums/17272-iii/
Guided By Voices,The Bears for Lunch," Guided By Voices, Inc. / Fire",2012,Stuart Berman, 7.3 , ,2012-11-12,http://pitchfork.com/reviews/albums/17321-the-bears-for-lunch/
Jessica Bailiff,At the Down-turned Jagged Rim of the Sky, Kranky,2012,Ned Raggett, 7.5 , ,2012-11-12,http://pitchfork.com/reviews/albums/17409-at-the-down-turned-jagged-rim-of-the-sky/
Mad Music Inc.,Mad Music, Drag City,1977,Andy Beta, 6.9 , ,2012-11-12,http://pitchfork.com/reviews/albums/17343-mad-music/
Various Artists,"Work Hard, Play Hard, Pray Hard: Hard Time, Good Time & End Time Music, 1923-1936", Tompkins Square,2012,Grayson Currin, 8.3 , ,2012-11-12,http://pitchfork.com/reviews/albums/17318-work-hard-play-hard-pray-hard-hard-time-good-time-end-time-music-1923-1936/
Joni Mitchell,The Studio Albums 1968-1979, Rhino,2012,Jessica Hopper, 8.0 , ,2012-11-09,http://pitchfork.com/reviews/albums/17269-the-studio-albums-1968-1979/
Prince Rama,Top Ten Hits of the End of the World, Paw Tracks,2012,Zach Kelly, 6.8 , ,2012-11-09,http://pitchfork.com/reviews/albums/17278-top-10-hits-of-the-end-of-the-world/
Graveyard,Lights Out, Nuclear Blast / Stranded Rekords,2012,Steven Hyden, 7.0 , ,2012-11-09,http://pitchfork.com/reviews/albums/17380-lights-out/
Dead Prez,Information Age, Krian,2012,Jayson Greene, 3.4 , ,2012-11-09,http://pitchfork.com/reviews/albums/17290-information-age/
Karriem Riggins,Alone Together, Stones Throw,2012,Jonah Bromwich, 7.8 , ,2012-11-09,http://pitchfork.com/reviews/albums/17367-alone-together/
Various Artists,The Man With the Iron Fists OST, Stax / Red / Soul Temple,2012,Ian Cohen, 7.4 , ,2012-11-08,http://pitchfork.com/reviews/albums/17433-the-man-with-the-iron-fists/
Lindstrøm,Smalhans, Smalltown Supersound,2012,Larry Fitzmaurice, 7.6 , ,2012-11-08,http://pitchfork.com/reviews/albums/17277-smalhans/
Halls,Ark, No Pain in Pop,2012,Harley Brown, 7.2 , ,2012-11-08,http://pitchfork.com/reviews/albums/17349-ark/
Pangaea,Release, Hessle,2012,Andrew Gaerig, 7.7 , ,2012-11-08,http://pitchfork.com/reviews/albums/17395-release/
Anaal Nathrakh,Vanitas, Candlelight,2012,Grayson Currin, 7.0 , ,2012-11-08,http://pitchfork.com/reviews/albums/17319-vanitas/
Clinic,Free Reign, Domino,2012,Stuart Berman, 7.1 , ,2012-11-07,http://pitchfork.com/reviews/albums/17291-free-reign/
Gucci Mane,Trap God, self-released,2012,Miles Raymer, 7.2 , ,2012-11-07,http://pitchfork.com/reviews/albums/17397-trap-god/
Vitalic,Rave Age, Different,2012,Larry Fitzmaurice, 4.7 , ,2012-11-07,http://pitchfork.com/reviews/albums/17259-rave-age/
Viv Albertine,The Vermilion Border, Rough Trade,2012,Lindsay Zoladz, 7.2 , ,2012-11-07,http://pitchfork.com/reviews/albums/17354-the-vermilion-border/
Fatima Al Qadiri,Desert Strike EP, Fade to Mind,2012,Carrie Battan, 7.9 , ,2012-11-07,http://pitchfork.com/reviews/albums/17312-desert-strike-ep/
Brian Eno,Lux, Warp,2012,Mark Richardson, 8.0 , ,2012-11-06,http://pitchfork.com/reviews/albums/17303-lux/
Mouse on Mars,WOW, Monkeytown,2012,Larry Fitzmaurice, 7.0 , ,2012-11-06,http://pitchfork.com/reviews/albums/17274-wow/
Trop Tard,Too Late (Box Set), Sacred Bones,2012,Nick Neyland, 6.1 , ,2012-11-06,http://pitchfork.com/reviews/albums/17265-too-late-box-set/
Anna Meredith,Black Prince Fury, Moshi Moshi,2012,Mike Powell, 7.2 , ,2012-11-06,http://pitchfork.com/reviews/albums/17400-black-prince-fury/
Early Graves,Red Horse, No Sleep,2012,Kim Kelly, 7.4 , ,2012-11-06,http://pitchfork.com/reviews/albums/17314-red-horse/
Dirty Projectors,About To Die EP, Domino,2012,Mike Powell, 7.3 , ,2012-11-05,http://pitchfork.com/reviews/albums/17273-about-to-die-ep/
Emeralds,Just to Feel Anything, Editions Mego,2012,Marc Masters, 5.9 , ,2012-11-05,http://pitchfork.com/reviews/albums/17276-just-to-feel-anything/
King Dude,Burning Daylight, Dais,2012,Steven Hyden, 6.9 , ,2012-11-05,http://pitchfork.com/reviews/albums/17331-burning-daylight/
Outer Minds,Behind the Mirror, FDH / Red Lounge / Resurrection,2012,Evan Minsker, 6.7 , ,2012-11-05,http://pitchfork.com/reviews/albums/17268-behind-the-mirror/
Bison B.C.,Lovelessness, Metal Blade,2012,Andy O'Connor, 7.2 , ,2012-11-05,http://pitchfork.com/reviews/albums/17398-lovelessness/
Angel Haze,Classick, self-released,2012,Lindsay Zoladz, 7.6 , ,2012-11-02,http://pitchfork.com/reviews/albums/17402-classick/
The Soft Moon,Zeros, Captured Tracks,2012,Brandon Stosuy, 7.0 , ,2012-11-02,http://pitchfork.com/reviews/albums/17207-zeros/
Dreamscape,La-Di-Da Recordings, Kranky,1992,Jenn Pelly, 8.1 , ,2012-11-02,http://pitchfork.com/reviews/albums/17204-la-di-da-recordings/
Atriarch,Ritual of Passing, Profound Lore,2012,Grayson Currin, 7.6 , ,2012-11-02,http://pitchfork.com/reviews/albums/17289-ritual-of-passing/
People Get Ready,People Get Ready, Brassland,2012,Jayson Greene, 6.3 , ,2012-11-02,http://pitchfork.com/reviews/albums/17313-people-get-ready/
Andrew Bird,Hands of Glory, Mom & Pop,2012,Stephen M. Deusner, 7.3 , ,2012-11-01,http://pitchfork.com/reviews/albums/17209-hands-of-glory/
The Coup,Sorry to Bother You, Anti-,2012,Jayson Greene, 7.2 , ,2012-11-01,http://pitchfork.com/reviews/albums/17211-sorry-to-bother-you/
Martha Wainwright,Come Home to Mama, Cooperative,2012,Katherine St. Asaph, 7.5 , ,2012-11-01,http://pitchfork.com/reviews/albums/17181-come-home-to-mama/
Tracey Thorn,Tinsel and Lights, Merge,2012,Marc Hogan, 6.2 , ,2012-11-01,http://pitchfork.com/reviews/albums/17271-tinsel-and-lights/
Vessel,Order of Noise, Tri Angle,2012,Nick Neyland, 7.0 , ,2012-11-01,http://pitchfork.com/reviews/albums/17286-order-of-noise/
Mac DeMarco,2, Captured Tracks,2012,Sam Hockley-Smith, 8.2 , Best New Music ,2012-10-31,http://pitchfork.com/reviews/albums/17182-mac-demarco-2/
Meek Mill,Dreams and Nightmares, Maybach,2012,Jordan Sargent, 7.4 , ,2012-10-31,http://pitchfork.com/reviews/albums/17315-dreams-and-nightmares/
Michael Mayer,Mantasy, Kompakt,2012,Mark Pytlik, 7.0 , ,2012-10-31,http://pitchfork.com/reviews/albums/17254-mantasy/
Egyptian Hip Hop,Good Don't Sleep, R&S,2012,Hari Ashurst, 7.5 , ,2012-10-31,http://pitchfork.com/reviews/albums/17225-good-dont-sleep/
Sweet Valley,Eternal Champ, Fool's Gold,2012,Ian Cohen, 6.6 , ,2012-10-31,http://pitchfork.com/reviews/albums/17334-eternal-champ/
Neil Young & Crazy Horse,Psychedelic Pill, Warner Bros.,2012,Rob Mitchum, 7.0 , ,2012-10-30,http://pitchfork.com/reviews/albums/17213-psychedelic-pill/
Main Attrakionz,Bossalinis & Fooliyones, Young One,2012,Zach Kelly, 7.1 , ,2012-10-30,http://pitchfork.com/reviews/albums/17215-bossalinis-fooliyones/
Prins Thomas,Prins Thomas II, Full Pupp,2012,Andrew Gaerig, 6.3 , ,2012-10-30,http://pitchfork.com/reviews/albums/17203-ii/
Cody ChesnuTT,Landing on a Hundred, Vibration Vineyard,2012,Eric Harvey, 6.9 , ,2012-10-30,http://pitchfork.com/reviews/albums/17270-landing-on-a-hundred/
GRMLN,Explore, Carpark,2012,Steven Hyden, 6.5 , ,2012-10-30,http://pitchfork.com/reviews/albums/17338-explore/
Andy Stott,Luxury Problems, Modern Love,2012,Mark Richardson, 8.7 , Best New Music ,2012-10-29,http://pitchfork.com/reviews/albums/17205-luxury-problems/
Neurosis,Honor Found in Decay, Neurot,2012,Hank Shteamer, 7.9 , ,2012-10-29,http://pitchfork.com/reviews/albums/17206-honor-found-in-decay/
Matthew Friedberger,Matricidal Sons of Bitches, Thrill Jockey,2012,Laura Snapes, 4.9 , ,2012-10-29,http://pitchfork.com/reviews/albums/17208-matricidal-sons-of-bitches/
Chad Valley,Young Hunger, Cascine,2012,Harley Brown, 7.0 , ,2012-10-29,http://pitchfork.com/reviews/albums/17210-young-hunger/
Diamond Rings,Free Dimensional, Astralwerks,2012,Ian Cohen, 5.8 , ,2012-10-29,http://pitchfork.com/reviews/albums/17219-free-dimensional/
Paul Banks,Banks, Matador,2012,Steven Hyden, 5.8 , ,2012-10-26,http://pitchfork.com/reviews/albums/17262-banks/
Black Moth Super Rainbow,Cobra Juicy, Rad Cult,2012,Jeff Weiss, 7.6 , ,2012-10-26,http://pitchfork.com/reviews/albums/17134-cobra-juicy/
Goat,World Music, Stranded Rekords / Rocket Recordings,2012,Grayson Currin, 8.1 , ,2012-10-26,http://pitchfork.com/reviews/albums/17332-world-music/
Oren Ambarchi / Robin Fox,Connected, Kranky,2012,Nick Neyland, 6.8 , ,2012-10-26,http://pitchfork.com/reviews/albums/17339-connected/
The Luyas,Animator, Dead Oceans,2012,Lindsay Zoladz, 5.9 , ,2012-10-26,http://pitchfork.com/reviews/albums/17336-animator/
...And You Will Know Us by the Trail of Dead,Lost Songs, Richter Scale / Superball,2012,Stuart Berman, 8.0 , ,2012-10-25,http://pitchfork.com/reviews/albums/17220-lost-songs/
Matt & Kim,Lightning, Fader,2012,Steven Hyden, 5.1 , ,2012-10-25,http://pitchfork.com/reviews/albums/17335-lightning/
Born Gold,Little Sleepwalker, Audraglint,2012,Ian Cohen, 5.7 , ,2012-10-25,http://pitchfork.com/reviews/albums/17257-little-sleepwalker/
Dark Dark Dark,Who Needs Who, Melodic / Supply and Demand,2012,Laura Snapes, 7.4 , ,2012-10-25,http://pitchfork.com/reviews/albums/17123-who-needs-you/
The Secret,Agnus Dei, Southern Lord,2012,Kim Kelly, 7.4 , ,2012-10-25,http://pitchfork.com/reviews/albums/17346-agnus-dei/
Titus Andronicus,Local Business, XL,2012,Ian Cohen, 7.0 , ,2012-10-24,http://pitchfork.com/reviews/albums/17258-local-business/
Laurie Spiegel,The Expanding Universe, Unseen Worlds / Philo,2012,Andy Beta, 8.5 , Best New Reissue ,2012-10-24,http://pitchfork.com/reviews/albums/17067-the-expanding-universe/
Ellie Goulding,Halcyon, Polydor,2012,Katherine St. Asaph, 6.6 , ,2012-10-24,http://pitchfork.com/reviews/albums/17171-halcyon/
Julie Doiron,So Many Days, Aporia,2012,Lindsay Zoladz, 7.4 , ,2012-10-24,http://pitchfork.com/reviews/albums/17221-so-many-days/
Yakuza,Beyul, Profound Lore,2012,Grayson Currin, 7.0 , ,2012-10-24,http://pitchfork.com/reviews/albums/17337-beyul/
Kendrick Lamar,"good kid, m.A.A.d city", Interscope / Aftermath / Top Dawg,2012,Jayson Greene, 9.5 , Best New Music ,2012-10-23,http://pitchfork.com/reviews/albums/17253-good-kid-maad-city/
Peter Buck,Peter Buck, Mississippi,2012,Stephen M. Deusner, 6.8 , ,2012-10-23,http://pitchfork.com/reviews/albums/17344-peter-buck/
Sinkane,Mars, DFA,2012,Eric Harvey, 7.0 , ,2012-10-23,http://pitchfork.com/reviews/albums/17218-mars/
U.S. Girls,GEM, Fat Cat,2012,Lindsay Zoladz, 7.7 , ,2012-10-23,http://pitchfork.com/reviews/albums/17222-gem/
God Seed,I Begin, Indie,2012,Grayson Currin, 7.1 , ,2012-10-23,http://pitchfork.com/reviews/albums/17311-i-begin/
Bat For Lashes,The Haunted Man, Parlophone,2012,Marc Hogan, 8.4 , Best New Music ,2012-10-22,http://pitchfork.com/reviews/albums/17174-the-haunted-man/
Hercules and Love Affair,DJ-Kicks, !K7,2012,Tim Finney, 7.0 , ,2012-10-22,http://pitchfork.com/reviews/albums/17223-dj-kicks/
Pig Destroyer,Book Burner, Relapse,2012,Jess Harvell, 8.0 , ,2012-10-22,http://pitchfork.com/reviews/albums/17255-book-burner/
Talk Normal,Sunshine, Joyful Noise,2012,Marc Masters, 7.7 , ,2012-10-22,http://pitchfork.com/reviews/albums/17224-sunshine/
