Beam Type 	M	h	b	s	t	r	d	A	Ix	Iy	rx	ry	Zx	Zy	Sx	Sy
610x229x101	101.2	602.6	227.6	10.5	14.8	12.7	547.6	129	75780	2915	24.2	4.75	2515	256	2881	400
533x210x122	122	544.5	211.9	12.7	21.3	12.7	476.5	155	76043	3388	22.1	4.67	2793	320	3196	500
533x210x109	109	539.5	210.8	11.6	18.8	12.7	476.5	139	66822	2943	21.9	4.6	2477	279	2828	436
533x210x101	101	536.7	210	10.8	17.4	12.7	476.5	129	61519	2692	21.9	4.57	2292	256	2612	399
533x210x92	92.1	533.1	209.3	10.1	15.6	12.7	476.5	117	55227	2389	21.7	4.51	2072	228	2360	356
533x210x82	82.2	528.3	208.8	9.6	13.2	12.7	476.5	105	47539	2007	21.3	4.38	1800	192	2059	300
457x191x98	98.3	467.2	192.8	11.4	19.6	10.2	407.6	125	45727	2347	19.1	4.33	1957	243	2232	379
457x191x89	89.3	463.4	191.9	10.5	17.7	10.2	407.6	114	41015	2089	19	4.29	1770	218	2014	338
457x191x82	82	460	191.3	9.9	16	10.2	407.6	104	37051	1871	18.8	4.23	1611	196	1831	304
457x191x74	74.3	457	190.4	9	14.5	10.2	407.6	94.6	33319	1671	18.8	4.2	1458	176	1653	272
457x191x67	67.1	453.4	189.9	8.5	12.7	10.2	407.6	85.5	29380	1452	18.5	4.12	1296	153	1471	237
457x152x82	82.1	465.8	155.3	10.5	18.9	10.2	407.6	105	36589	1185	18.7	3.37	1571	153	1811	240
457x152x74	74.2	462	154.4	9.6	17	10.2	407.6	94.5	32674	1047	18.6	3.33	1414	136	1627	213
457x152x67	67.2	458	153.8	9	15	10.2	407.6	85.6	28927	913	18.4	3.27	1263	119	1453	187
457x152x60	59.8	454.6	152.9	8.1	13.3	10.2	407.6	76.2	25500	795	18.3	3.23	1122	104	1287	163
457x152x52	52.3	449.8	152.4	7.6	10.9	10.2	407.6	66.6	21369	645	17.9	3.11	950	84.6	1096	133
406x178x74	74.2	412.8	179.5	9.5	16	10.2	360.4	94.5	27310	1545	17	4.04	1323	172	1501	267
406x178x67	67.1	409.4	178.8	8.8	14.3	10.2	360.4	85.5	24331	1365	16.9	3.99	1189	153	1346	237
406x178x60	60.1	406.4	177.9	7.9	12.8	10.2	360.4	76.5	21596	1203	16.8	3.97	1063	135	1199	209
406x178x54	54.1	402.6	177.7	7.7	10.9	10.2	360.4	69	18722	1021	16.5	3.85	930	115	1055	178
406x140x46	46	403.2	142.2	6.8	11.2	10.2	360.4	58.6	15685	538	16.4	3.03	778	75.7	888	118
406x140x39	39	398	141.8	6.4	8.6	10.2	360.4	49.7	12508	410	15.9	2.87	629	57.8	724	90.8
356x171x67	67.1	363.4	173.2	9.1	15.7	10.2	311.6	85.5	19463	1362	15.1	3.99	1071	157	1211	243
356x171x57	57	358	172.2	8.1	13	10.2	311.6	72.6	16038	1108	14.9	3.91	896	129	1010	199
356x171x51	51	355	171.5	7.4	11.5	10.2	311.6	64.9	14136	968	14.8	3.86	796	113	896	174
356x171x45	45	351.4	171.1	7	9.7	10.2	311.6	57.3	12066	811	14.5	3.76	687	94.8	775	147
356x127x39	39.1	353.4	126	6.6	10.7	10.2	311.6	49.8	10172	358	14.3	2.68	576	56.8	659	89.1
356x127x33	33.1	349	125.4	6	8.5	10.2	311.6	42.1	8249	280	14	2.58	473	44.7	543	70.3
305x165x54	54	310.4	166.9	7.9	13.7	8.9	265.2	68.8	11696	1063	13	3.93	754	127	846	196
305x165x46	46.1	306.6	165.7	6.7	11.8	8.9	265.2	58.7	9899	896	13	3.9	646	108	720	166
305x165x40	40.3	303.4	165	6	10.2	8.9	265.2	51.3	8503	764	12.9	3.86	560	92.6	623	142
305x127x48	48.1	311	125.3	9	14	8.9	265.2	61.2	9575	461	12.5	2.74	616	73.6	711	116
305x127x42	41.9	307.2	124.3	8	12.1	8.9	265.2	53.4	8196	389	12.4	2.7	534	62.6	614	98.4
305x127x37	37	304.4	123.4	7.1	10.7	8.9	265.2	47.2	7171	336	12.3	2.67	471	54.5	539	85.4
305x102x33	32.8	312.7	102.4	6.6	10.8	7.6	275.9	41.8	6501	194	12.5	2.15	416	37.9	481	60
305x102x28	28.2	308.7	101.8	6	8.8	7.6	275.9	35.9	5366	155	12.2	2.08	348	30.5	403	48.5
305x102x25	24.8	305.1	101.6	5.8	7	7.6	275.9	31.6	4455	123	11.9	1.97	292	24.2	342	38.8
254x146x43	43	259.6	147.3	7.2	12.7	7.6	219	54.8	6544	677	10.9	3.52	504	92	566	141
254x146x37	37	256	146.4	6.3	10.9	7.6	219	47.2	5537	571	10.8	3.48	433	78	483	119
254x146x31	31.1	251.4	146.1	6	8.6	7.6	219	39.7	4413	448	10.5	3.36	351	61.3	393	94.1
254x102x28	28.3	260.4	102.2	6.3	10	7.6	225.2	36.1	4005	179	10.5	2.22	308	34.9	353	54.8
254x102x25	25.2	257.2	101.9	6	8.4	7.6	225.2	32	3415	149	10.3	2.15	266	29.2	306	46
254x102x22	22	254	101.6	5.7	6.8	7.6	225.2	28	2841	119	10.1	2.06	224	23.5	259	37.3
203x133x30	30	206.8	133.9	6.4	9.6	7.6	172.4	38.2	2896	385	8.71	3.17	280	57.5	314	88.2
203x133x25	25.1	203.2	133.2	5.7	7.8	7.6	172.4	32	2340	308	8.56	3.1	230	46.2	258	70.9
203x102x23	23.1	203.2	101.8	5.4	9.3	7.6	169.4	29.4	2105	164	8.46	2.36	207	32.2	234	49.8
178x102x19	19	177.8	101.2	4.8	7.9	7.6	146.8	24.3	1356	137	7.48	2.37	153	27	171	41.6
152x89x16	16	152.4	88.7	4.5	7.7	7.6	121.8	20.3	834	89.8	6.41	2.1	109	20.2	123	31.2
127x76x13	13	127	76	4	7.6	7.6	96.6	16.5	473	55.7	5.35	1.84	74.6	14.7	84.2	22.6
