{'lift':0.0493168, 'drag':0.346857, 'sect0':{'Sweep': 48.82603538609133, 'Span': 3.268728488224802, 'TC': 13.321771106309559, 'RC': 21.692844665672595}, 'sect1':{'Sweep': 39.71808377838783, 'Span': 6.468045609643587, 'TC': 2.696946388732429, 'RC': 11.561150809059342}, 'time':146}
{'lift':0.0507355, 'drag':0.415863, 'sect0':{'Sweep': 45.085636941755894, 'Span': 3.5385589548828422, 'TC': 10.027959404128737, 'RC': 24.399627940443175}, 'sect1':{'Sweep': 38.51258529582991, 'Span': 8.485586628307729, 'TC': 4.9229154715528916, 'RC': 13.203257065782058}, 'time':169}
{'lift':0.0342553, 'drag':0.305927, 'sect0':{'Sweep': 51.39136019532225, 'Span': 4.61827980174496, 'TC': 9.705461118753021, 'RC': 18.85901010689731}, 'sect1':{'Sweep': 24.995985504428575, 'Span': 3.392863082645183, 'TC': 5.220060931059839, 'RC': 10.989995337134662}, 'time':130}
{'lift':0.0442326, 'drag':0.342335, 'sect0':{'Sweep': 50.191168785272325, 'Span': 4.009440934857727, 'TC': 9.334176234505076, 'RC': 15.99505950362938}, 'sect1':{'Sweep': 31.453670002493112, 'Span': 6.76935157016491, 'TC': 3.740936716785031, 'RC': 11.28716725347908}, 'time':138}
{'lift':0.0317309, 'drag':0.313067, 'sect0':{'Sweep': 53.76691306167662, 'Span': 3.0559499681676847, 'TC': 6.525655344047263, 'RC': 13.480957625140157}, 'sect1':{'Sweep': 40.41093426401727, 'Span': 9.027062025973274, 'TC': 4.790633643464556, 'RC': 12.579682938448475}, 'time':157}
{'lift':-0.0048135, 'drag':0.247359, 'sect0':{'Sweep': 46.24851206705847, 'Span': 3.510588080174612, 'TC': 13.259193155015057, 'RC': 20.4235893561419}, 'sect1':{'Sweep': 26.23898064133557, 'Span': 3.1168344108089174, 'TC': 0.08735984954887388, 'RC': 12.289107426765387}, 'time':115}
{'lift':0.0206892, 'drag':0.244132, 'sect0':{'Sweep': 46.04273067796271, 'Span': 3.2189772545887188, 'TC': 10.872822925677239, 'RC': 15.82192009735093}, 'sect1':{'Sweep': 26.822860920467, 'Span': 4.117378672856932, 'TC': 3.164282394288077, 'RC': 8.177014623556998}, 'time':118}
{'lift':0.0298142, 'drag':0.256442, 'sect0':{'Sweep': 52.10656521255419, 'Span': 4.423179854370546, 'TC': 9.001717930502302, 'RC': 15.508024729422562}, 'sect1':{'Sweep': 24.700982618782824, 'Span': 3.1654420434239094, 'TC': 2.319342628568819, 'RC': 9.946430754463531}, 'time':117}
{'lift':0.0343421, 'drag':0.390223, 'sect0':{'Sweep': 48.13636488827655, 'Span': 3.2175233848908267, 'TC': 13.898003503916222, 'RC': 18.14162373300147}, 'sect1':{'Sweep': 20.446613020694883, 'Span': 7.239540480238116, 'TC': 4.902238010267322, 'RC': 7.145726759565012}, 'time':144}
{'lift':0.0299846, 'drag':0.344861, 'sect0':{'Sweep': 55.56908441778004, 'Span': 3.292923480798692, 'TC': 11.907190200379688, 'RC': 13.243186296815864}, 'sect1':{'Sweep': 44.389862945447085, 'Span': 7.747230566938632, 'TC': 3.2682129814734266, 'RC': 8.544198236158735}, 'time':147}
{'lift':0.0404473, 'drag':0.335694, 'sect0':{'Sweep': 54.72759627148885, 'Span': 4.595621715412302, 'TC': 9.682594686443323, 'RC': 14.124740923453391}, 'sect1':{'Sweep': 35.77369653178367, 'Span': 5.764286069008097, 'TC': 3.45507577672834, 'RC': 9.248720665415878}, 'time':139}
{'lift':0.0266496, 'drag':0.277944, 'sect0':{'Sweep': 58.13301366352739, 'Span': 3.117570232412983, 'TC': 7.284665445853147, 'RC': 24.550646342112447}, 'sect1':{'Sweep': 43.48221080338206, 'Span': 5.1447063423327215, 'TC': 5.151086438139355, 'RC': 9.172545391471939}, 'time':148}
{'lift':0.0467826, 'drag':0.3396, 'sect0':{'Sweep': 45.127203936955034, 'Span': 4.487684237334243, 'TC': 8.57789489041528, 'RC': 14.533013431917695}, 'sect1':{'Sweep': 44.05502812952045, 'Span': 9.151025287461927, 'TC': 0.22749918359148347, 'RC': 12.73589877428958}, 'time':149}
{'lift':0.0404258, 'drag':0.328794, 'sect0':{'Sweep': 59.60662854239537, 'Span': 4.140561140490361, 'TC': 5.886688046954905, 'RC': 23.148934902089906}, 'sect1':{'Sweep': 28.67327211406554, 'Span': 7.928161996310499, 'TC': 3.053242476467343, 'RC': 9.645781840405256}, 'time':159}
{'lift':0.0209636, 'drag':0.259949, 'sect0':{'Sweep': 47.91177967477785, 'Span': 3.411523514589409, 'TC': 11.415683156715506, 'RC': 17.061301695404428}, 'sect1':{'Sweep': 32.494998055920036, 'Span': 3.730969559890607, 'TC': 3.9957451696720954, 'RC': 9.07250871158206}, 'time':125}
{'lift':0.0236144, 'drag':0.311432, 'sect0':{'Sweep': 45.27139475460707, 'Span': 3.6506913097519926, 'TC': 13.587836581659106, 'RC': 23.595495774886935}, 'sect1':{'Sweep': 39.56750939323439, 'Span': 4.405971080085315, 'TC': 1.966444230577605, 'RC': 13.909348025496183}, 'time':142}
{'lift':0.0318032, 'drag':0.316394, 'sect0':{'Sweep': 57.56551605230946, 'Span': 3.6781912957018674, 'TC': 6.343327760188951, 'RC': 20.442370976132686}, 'sect1':{'Sweep': 37.17775455384144, 'Span': 9.52531230325539, 'TC': 2.0630988887449186, 'RC': 13.176752417265245}, 'time':160}
{'lift':0.0418434, 'drag':0.27607, 'sect0':{'Sweep': 55.881977793619086, 'Span': 3.9689974452249883, 'TC': 14.840590528083776, 'RC': 14.284966088194539}, 'sect1':{'Sweep': 25.324204874785604, 'Span': 3.5927616129153894, 'TC': 1.0181648507663255, 'RC': 13.376914484556476}, 'time':120}
{'lift':0.0338752, 'drag':0.353803, 'sect0':{'Sweep': 50.521619991084734, 'Span': 4.518232365432881, 'TC': 10.602297131454744, 'RC': 22.77585073988197}, 'sect1':{'Sweep': 35.09956322229278, 'Span': 5.381996645013916, 'TC': 1.747291724466808, 'RC': 13.07193876510832}, 'time':145}
{'lift':0.0292173, 'drag':0.300266, 'sect0':{'Sweep': 53.26755711103824, 'Span': 4.90861491434438, 'TC': 13.759916151886591, 'RC': 12.894843683536342}, 'sect1':{'Sweep': 41.6542089341643, 'Span': 3.7299249861022954, 'TC': 0.23482679158146347, 'RC': 7.51235393182644}, 'time':125}
{'lift':0.0365052, 'drag':0.44103, 'sect0':{'Sweep': 54.22779048838555, 'Span': 4.576232897450453, 'TC': 13.113565686160248, 'RC': 15.772564497632168}, 'sect1':{'Sweep': 25.59285181871923, 'Span': 8.473325211429284, 'TC': 2.2682377730303243, 'RC': 10.995470679193163}, 'time':161}
{'lift':0.0214345, 'drag':0.322088, 'sect0':{'Sweep': 53.46670249860296, 'Span': 3.1634865247047874, 'TC': 6.9339600727991, 'RC': 23.470753789974275}, 'sect1':{'Sweep': 39.67536658900822, 'Span': 9.475470414759313, 'TC': 2.746615554247472, 'RC': 8.940279362753888}, 'time':180}
{'lift':-0.00170289, 'drag':0.267523, 'sect0':{'Sweep': 46.375246839247765, 'Span': 4.655536313291459, 'TC': 4.1361991893533325, 'RC': 20.385762946335035}, 'sect1':{'Sweep': 25.990834121687733, 'Span': 3.8057174889954912, 'TC': 5.310360422277967, 'RC': 7.280164758231153}, 'time':137}
{'lift':0.0292621, 'drag':0.316299, 'sect0':{'Sweep': 47.510751561919975, 'Span': 4.9763169972120656, 'TC': 8.63114946173294, 'RC': 12.617814528291825}, 'sect1':{'Sweep': 42.769110456983334, 'Span': 4.689941995684902, 'TC': 4.464038499222051, 'RC': 7.719839021904169}, 'time':130}
{'lift':0.0325393, 'drag':0.344396, 'sect0':{'Sweep': 49.41035377422821, 'Span': 3.756554541088452, 'TC': 14.672904401810316, 'RC': 23.729118194109958}, 'sect1':{'Sweep': 36.30125498723543, 'Span': 4.773870952287887, 'TC': 2.862060575833607, 'RC': 7.700904007653164}, 'time':139}
{'lift':-0.0196084, 'drag':0.257235, 'sect0':{'Sweep': 49.43324790073377, 'Span': 3.079240426827409, 'TC': 4.115567666705395, 'RC': 24.756170771706486}, 'sect1':{'Sweep': 21.574119751191134, 'Span': 7.17599450231909, 'TC': 2.699067207780587, 'RC': 9.192966027482495}, 'time':144}
{'lift':0.0314121, 'drag':0.411796, 'sect0':{'Sweep': 46.67043465190338, 'Span': 4.826784034331881, 'TC': 14.66794604521927, 'RC': 24.577151062950577}, 'sect1':{'Sweep': 33.57282993711789, 'Span': 4.506352890252689, 'TC': 3.706841280069334, 'RC': 13.85967020123054}, 'time':149}
{'lift':0.0441582, 'drag':0.313056, 'sect0':{'Sweep': 53.124033943694485, 'Span': 4.376379616095425, 'TC': 11.280178717628843, 'RC': 14.62720388595103}, 'sect1':{'Sweep': 27.019668089116887, 'Span': 5.151247824687594, 'TC': 1.4782871765105534, 'RC': 7.5695813576865145}, 'time':129}
{'lift':0.0468993, 'drag':0.43793, 'sect0':{'Sweep': 54.651991204047626, 'Span': 4.966753434438805, 'TC': 8.92692464586625, 'RC': 20.128147483177386}, 'sect1':{'Sweep': 28.181035367178332, 'Span': 9.585141655743, 'TC': 2.3428713068335387, 'RC': 9.147490063960596}, 'time':195}
{'lift':0.0143159, 'drag':0.345431, 'sect0':{'Sweep': 49.54213994508774, 'Span': 3.6334702937712042, 'TC': 13.318482424088366, 'RC': 23.509003437302415}, 'sect1':{'Sweep': 34.89906350002511, 'Span': 5.340333839555333, 'TC': 3.2653524850931053, 'RC': 11.052898054219586}, 'time':143}
{'lift':0.000338755, 'drag':0.196023, 'sect0':{'Sweep': 46.08491300807116, 'Span': 3.490196007790497, 'TC': 4.224114312908776, 'RC': 14.412630197590822}, 'sect1':{'Sweep': 35.88455233907643, 'Span': 6.858433284408543, 'TC': 0.4254982052372067, 'RC': 7.525908545781661}, 'time':113}
{'lift':0.0221626, 'drag':0.284049, 'sect0':{'Sweep': 57.93973466669564, 'Span': 3.5816431008387912, 'TC': 12.714032336705216, 'RC': 17.905654598501933}, 'sect1':{'Sweep': 21.9276746565979, 'Span': 4.079257173139908, 'TC': 3.0085775156801597, 'RC': 12.564884456222167}, 'time':125}
{'lift':0.0238112, 'drag':0.360961, 'sect0':{'Sweep': 59.77343806716109, 'Span': 4.8984558979458726, 'TC': 5.90566319208764, 'RC': 21.866925761803095}, 'sect1':{'Sweep': 32.858956276381235, 'Span': 8.750851013204601, 'TC': 1.918704016758034, 'RC': 7.7481441420709185}, 'time':163}
{'lift':0.0294165, 'drag':0.369874, 'sect0':{'Sweep': 47.12520970540042, 'Span': 4.838713878421376, 'TC': 7.228384438077345, 'RC': 23.512623167741058}, 'sect1':{'Sweep': 42.57720709285281, 'Span': 9.373371720749137, 'TC': 0.19055967538401997, 'RC': 9.21248074432618}, 'time':172}
{'lift':0.0310598, 'drag':0.449934, 'sect0':{'Sweep': 56.19277328106783, 'Span': 4.6077125619679435, 'TC': 13.97869143696477, 'RC': 22.77005931145433}, 'sect1':{'Sweep': 23.947423593804015, 'Span': 7.827166255101853, 'TC': 1.0689291938659415, 'RC': 10.028466006833659}, 'time':166}
{'lift':0.0474072, 'drag':0.482947, 'sect0':{'Sweep': 45.96621290021492, 'Span': 4.429648903937623, 'TC': 11.345566136540963, 'RC': 14.536209709114367}, 'sect1':{'Sweep': 33.53444129962452, 'Span': 9.74370118325103, 'TC': 4.84951577023438, 'RC': 10.844889519747635}, 'time':164}
{'lift':0.016331, 'drag':0.28708, 'sect0':{'Sweep': 50.08003717342588, 'Span': 4.70258533266276, 'TC': 8.986406453844396, 'RC': 16.539946226090745}, 'sect1':{'Sweep': 30.417097057460246, 'Span': 4.805783647302402, 'TC': 0.14645101695062523, 'RC': 11.525071908000678}, 'time':124}
{'lift':0.00778625, 'drag':0.209899, 'sect0':{'Sweep': 47.07426170932647, 'Span': 4.1412072631554455, 'TC': 4.685537938838731, 'RC': 15.96920821160814}, 'sect1':{'Sweep': 29.94493282662182, 'Span': 3.8759031069984324, 'TC': 1.5546778134949681, 'RC': 12.802540666896107}, 'time':112}
{'lift':0.0310928, 'drag':0.331555, 'sect0':{'Sweep': 45.11215759563201, 'Span': 3.8021643038418027, 'TC': 10.736894152922329, 'RC': 14.269415146141899}, 'sect1':{'Sweep': 30.957923891042896, 'Span': 6.700912179206993, 'TC': 3.0053977173433597, 'RC': 11.541877146385973}, 'time':137}
{'lift':0.0282959, 'drag':0.346735, 'sect0':{'Sweep': 52.42608376074016, 'Span': 4.373026261316401, 'TC': 12.04564144077179, 'RC': 14.337245452268334}, 'sect1':{'Sweep': 34.01018586219973, 'Span': 6.351788213072553, 'TC': 1.350372510232602, 'RC': 9.885722930421386}, 'time':136}
{'lift':0.0487918, 'drag':0.304211, 'sect0':{'Sweep': 54.69622763463883, 'Span': 4.813879009011696, 'TC': 14.094772422220444, 'RC': 14.853155088521188}, 'sect1':{'Sweep': 41.93560197366217, 'Span': 3.3373814035298266, 'TC': 0.4293083293673825, 'RC': 10.581841964401447}, 'time':126}
{'lift':0.0643337, 'drag':0.414499, 'sect0':{'Sweep': 49.677030477529534, 'Span': 3.318935461515662, 'TC': 12.426306446770434, 'RC': 23.36213397125765}, 'sect1':{'Sweep': 37.532066572695214, 'Span': 7.847898752219702, 'TC': 5.0939467349194505, 'RC': 9.601300315232955}, 'time':160}
{'lift':0.0804916, 'drag':0.480355, 'sect0':{'Sweep': 58.44906556674523, 'Span': 4.472836233150637, 'TC': 10.540355853249917, 'RC': 22.987879944782065}, 'sect1':{'Sweep': 26.264885221934485, 'Span': 9.720551718754013, 'TC': 3.4273961653052734, 'RC': 8.233931266445328}, 'time':188}
{'lift':0.0461949, 'drag':0.37748, 'sect0':{'Sweep': 45.781998317132796, 'Span': 3.4352373770131663, 'TC': 10.264690845575737, 'RC': 21.60850160533011}, 'sect1':{'Sweep': 32.87639510733355, 'Span': 7.771455189252277, 'TC': 4.302919580205065, 'RC': 9.435870555697655}, 'time':157}
{'lift':0.00374463, 'drag':0.363724, 'sect0':{'Sweep': 59.718315872222384, 'Span': 3.32959630406235, 'TC': 12.028857655356985, 'RC': 11.569921622711684}, 'sect1':{'Sweep': 42.8215722523108, 'Span': 8.655606134133691, 'TC': 3.7706910118928443, 'RC': 8.872683712529781}, 'time':151}
{'lift':0.0368508, 'drag':0.361159, 'sect0':{'Sweep': 57.628962878152855, 'Span': 4.918877675754143, 'TC': 5.530387749236181, 'RC': 21.860601504420018}, 'sect1':{'Sweep': 43.107695065623204, 'Span': 7.618021494197878, 'TC': 4.202446598500384, 'RC': 10.115411124801582}, 'time':175}
{'lift':0.0257775, 'drag':0.320723, 'sect0':{'Sweep': 51.49382387070804, 'Span': 4.942415056392562, 'TC': 8.205886441021919, 'RC': 22.237961431204994}, 'sect1':{'Sweep': 42.72211899756761, 'Span': 4.153279530782917, 'TC': 1.9528036611435837, 'RC': 7.884310523843897}, 'time':137}
{'lift':0.0184081, 'drag':0.264512, 'sect0':{'Sweep': 51.12336146562875, 'Span': 4.918848160088288, 'TC': 5.311054056464624, 'RC': 19.40950713661882}, 'sect1':{'Sweep': 38.73942027974392, 'Span': 3.826630217012524, 'TC': 1.772853088870902, 'RC': 8.737514597564537}, 'time':125}
{'lift':0.0122208, 'drag':0.254104, 'sect0':{'Sweep': 45.31552009628807, 'Span': 3.008017911908092, 'TC': 6.08822574326392, 'RC': 17.142822981679117}, 'sect1':{'Sweep': 25.165145392129617, 'Span': 7.392686119762363, 'TC': 3.633765231471025, 'RC': 12.847326456180047}, 'time':145}
{'lift':0.0300563, 'drag':0.276712, 'sect0':{'Sweep': 53.78607125104438, 'Span': 3.5695632271231776, 'TC': 9.965733738280235, 'RC': 14.825159760981046}, 'sect1':{'Sweep': 40.21636550409519, 'Span': 4.756175606150064, 'TC': 4.101162915515744, 'RC': 12.537635028576013}, 'time':121}
{'lift':0.0837943, 'drag':0.438159, 'sect0':{'Sweep': 57.83546549697965, 'Span': 4.947232219099694, 'TC': 9.999147042084557, 'RC': 17.8713299176062}, 'sect1':{'Sweep': 27.101186143338982, 'Span': 8.383471701015655, 'TC': 3.423267776322211, 'RC': 9.682794693363846}, 'time':165}
{'lift':0.0328794, 'drag':0.347086, 'sect0':{'Sweep': 56.208978520320656, 'Span': 3.2162784174683363, 'TC': 12.883039983106084, 'RC': 12.653001427429318}, 'sect1':{'Sweep': 44.33799461450135, 'Span': 6.817009628377022, 'TC': 5.789671972717967, 'RC': 12.32745961897232}, 'time':139}
{'lift':0.0219125, 'drag':0.288195, 'sect0':{'Sweep': 49.668771859687105, 'Span': 3.273188025879615, 'TC': 9.504086212150751, 'RC': 19.016096020316365}, 'sect1':{'Sweep': 20.02111794872224, 'Span': 6.521227417445483, 'TC': 2.140912581620076, 'RC': 10.698757799460104}, 'time':142}
{'lift':0.0386257, 'drag':0.371843, 'sect0':{'Sweep': 50.99104121394811, 'Span': 3.8846286642248575, 'TC': 8.945073581131847, 'RC': 15.267188635096959}, 'sect1':{'Sweep': 36.19170604605458, 'Span': 8.481611178203936, 'TC': 4.100477303776817, 'RC': 10.446093930241968}, 'time':156}
{'lift':0.0199242, 'drag':0.291309, 'sect0':{'Sweep': 49.16431877414133, 'Span': 3.755116423702026, 'TC': 6.243054554803477, 'RC': 11.05425921028578}, 'sect1':{'Sweep': 32.774005196779825, 'Span': 7.187149390995627, 'TC': 5.289977598424176, 'RC': 12.805948749919711}, 'time':141}
{'lift':0.0528178, 'drag':0.481047, 'sect0':{'Sweep': 51.134480119214565, 'Span': 4.974036290098854, 'TC': 9.077390712567837, 'RC': 22.684308806335736}, 'sect1':{'Sweep': 24.257820630332105, 'Span': 8.212414324171121, 'TC': 5.925550147336089, 'RC': 9.137356146575833}, 'time':174}
{'lift':0.0257774, 'drag':0.314733, 'sect0':{'Sweep': 45.05278863145577, 'Span': 4.240067417455322, 'TC': 9.840517984114381, 'RC': 16.031908447792155}, 'sect1':{'Sweep': 41.53113272443876, 'Span': 5.72413849126863, 'TC': 2.5552168326219604, 'RC': 9.836764502168233}, 'time':135}
{'lift':0.0455274, 'drag':0.409079, 'sect0':{'Sweep': 56.23160195362706, 'Span': 4.168856054164264, 'TC': 12.072138716984846, 'RC': 23.570728402919546}, 'sect1':{'Sweep': 36.21863586658351, 'Span': 6.448914363335328, 'TC': 4.4746100417210775, 'RC': 11.482487803466846}, 'time':155}
{'lift':0.057905, 'drag':0.434431, 'sect0':{'Sweep': 54.50598766418442, 'Span': 4.25935071737731, 'TC': 8.47698872487342, 'RC': 19.809668438026232}, 'sect1':{'Sweep': 39.18749475356431, 'Span': 9.559825716772844, 'TC': 4.694842112224938, 'RC': 12.923876466207634}, 'time':184}
{'lift':0.0644387, 'drag':0.441597, 'sect0':{'Sweep': 48.96874887477205, 'Span': 4.630651723982058, 'TC': 10.660086342032319, 'RC': 15.892301237413571}, 'sect1':{'Sweep': 23.801749173937505, 'Span': 7.956140189453806, 'TC': 5.243652448879142, 'RC': 10.80972730462016}, 'time':161}
{'lift':0.0330773, 'drag':0.380624, 'sect0':{'Sweep': 45.68082089768579, 'Span': 4.665950570394856, 'TC': 9.329973868026144, 'RC': 17.53943679589458}, 'sect1':{'Sweep': 28.879432839713786, 'Span': 6.571966459530671, 'TC': 4.4684859927283025, 'RC': 9.95818467802018}, 'time':147}
{'lift':0.00866624, 'drag':0.28206, 'sect0':{'Sweep': 59.19190643298929, 'Span': 4.313687077797704, 'TC': 4.217155261378931, 'RC': 18.10029035764498}, 'sect1':{'Sweep': 35.12484798289896, 'Span': 7.833133143569335, 'TC': 2.4115423695432754, 'RC': 11.822357654054233}, 'time':143}
{'lift':0.00909495, 'drag':0.237979, 'sect0':{'Sweep': 49.03603815308446, 'Span': 3.4177787829651356, 'TC': 6.284791638028389, 'RC': 23.4043540557864}, 'sect1':{'Sweep': 29.20520414932382, 'Span': 3.524193442570904, 'TC': 4.984065543577363, 'RC': 10.662384373035241}, 'time':132}
{'lift':0.0301738, 'drag':0.407126, 'sect0':{'Sweep': 54.79600497354788, 'Span': 4.023037844265266, 'TC': 12.103982571863876, 'RC': 13.35975051042637}, 'sect1':{'Sweep': 35.24165826660486, 'Span': 7.994058988798887, 'TC': 4.890020663570267, 'RC': 8.888324435732969}, 'time':151}
{'lift':0.0396477, 'drag':0.343681, 'sect0':{'Sweep': 56.84651437321922, 'Span': 3.464227756746994, 'TC': 10.171491409814895, 'RC': 13.413081607004523}, 'sect1':{'Sweep': 44.09471042639581, 'Span': 9.067025052553497, 'TC': 1.9778613619231713, 'RC': 8.556229932690954}, 'time':150}
{'lift':0.0111054, 'drag':0.368219, 'sect0':{'Sweep': 58.49089967479161, 'Span': 4.4133806265030415, 'TC': 13.281718844691234, 'RC': 11.427482649123737}, 'sect1':{'Sweep': 39.03982483752565, 'Span': 7.357164426283457, 'TC': 1.8991749254464045, 'RC': 10.022359360246856}, 'time':151}
{'lift':0.0165752, 'drag':0.366504, 'sect0':{'Sweep': 47.484442912532366, 'Span': 4.5708239118619485, 'TC': 6.088909549995755, 'RC': 19.762411074731723}, 'sect1':{'Sweep': 38.20619611966984, 'Span': 9.811348818645076, 'TC': 2.661459337835005, 'RC': 13.392015036422988}, 'time':167}
{'lift':0.0241313, 'drag':0.268334, 'sect0':{'Sweep': 47.07929612455479, 'Span': 4.212519808791217, 'TC': 6.881824344793757, 'RC': 18.372292520668367}, 'sect1':{'Sweep': 38.78440778716579, 'Span': 3.966685952671553, 'TC': 4.294498597413959, 'RC': 9.527628378334143}, 'time':131}
{'lift':-0.000235254, 'drag':0.267113, 'sect0':{'Sweep': 49.58243821578766, 'Span': 3.4809872078275226, 'TC': 11.899739565462475, 'RC': 21.05867696955488}, 'sect1':{'Sweep': 22.499355367444608, 'Span': 3.7446980371574896, 'TC': 2.3820471311228046, 'RC': 10.446530502291353}, 'time':124}
{'lift':0.000201881, 'drag':0.184559, 'sect0':{'Sweep': 58.33314185057874, 'Span': 3.3735225207355715, 'TC': 4.608773580970285, 'RC': 19.365190001770614}, 'sect1':{'Sweep': 40.372763969742124, 'Span': 4.515904536717352, 'TC': 0.20828061526091846, 'RC': 11.927465160934279}, 'time':114}
{'lift':0.030624, 'drag':0.327078, 'sect0':{'Sweep': 57.56802927045983, 'Span': 4.928243173467779, 'TC': 10.74496852506072, 'RC': 15.79420431912655}, 'sect1':{'Sweep': 29.99264367543497, 'Span': 3.826469736491856, 'TC': 4.15582162913776, 'RC': 7.666615944761455}, 'time':135}
{'lift':0.0267109, 'drag':0.335942, 'sect0':{'Sweep': 48.47575968903341, 'Span': 3.9900457628043577, 'TC': 8.15683700335575, 'RC': 13.360366103262717}, 'sect1':{'Sweep': 25.297675440403985, 'Span': 8.741049982499261, 'TC': 2.775454828754939, 'RC': 11.059529213064568}, 'time':159}
{'lift':0.0237901, 'drag':0.349475, 'sect0':{'Sweep': 58.64230594193724, 'Span': 4.429870117573066, 'TC': 7.6312898506199005, 'RC': 19.310660224804572}, 'sect1':{'Sweep': 41.43969563402206, 'Span': 9.96075386220192, 'TC': 0.2773076898788731, 'RC': 12.582098983500837}, 'time':172}
{'lift':0.0418966, 'drag':0.315852, 'sect0':{'Sweep': 58.78260346456069, 'Span': 3.639148874414411, 'TC': 8.214623885803295, 'RC': 19.123552635468663}, 'sect1':{'Sweep': 23.806826992655637, 'Span': 5.799500153366293, 'TC': 5.280181012640471, 'RC': 12.30992369742923}, 'time':140}
{'lift':0.0216891, 'drag':0.213831, 'sect0':{'Sweep': 54.97216819330031, 'Span': 4.8273598407276985, 'TC': 4.166991578489464, 'RC': 13.032495500656246}, 'sect1':{'Sweep': 31.572231846331405, 'Span': 3.399837806472247, 'TC': 2.276939314045101, 'RC': 7.909852009688534}, 'time':110}
{'lift':0.0438782, 'drag':0.409321, 'sect0':{'Sweep': 45.91277635003297, 'Span': 4.679960687509202, 'TC': 13.966927864841047, 'RC': 11.49657496450639}, 'sect1':{'Sweep': 22.935917942320913, 'Span': 8.884368247557259, 'TC': 0.256888699533669, 'RC': 8.915131855499414}, 'time':155}
{'lift':0.00355889, 'drag':0.280153, 'sect0':{'Sweep': 56.16921401909785, 'Span': 3.1820754139141876, 'TC': 4.303851786973197, 'RC': 19.925182177307935}, 'sect1':{'Sweep': 29.742548191883596, 'Span': 7.807399635910734, 'TC': 5.073736631509357, 'RC': 11.641113319490854}, 'time':156}
